source_id,source_path,source_kind,evidence_state,observed_role,claim_scope,decision,next_gate
H1,/Users/steven/Downloads/Branch_·_Branch_·_Fiverr_Profile_Optimization (1).html,historical ChatGPT HTML export,inherited,positioning/package/buyer-experience hypotheses,Not current Fiverr state or proof,reference only,manual evidence card from reproducible local artifact
H2,/Users/steven/.hermes/skills/productization/evidence-led-productization/SKILL.md,authored Hermes skill,observed,market workspace/evidence/release method,Method guidance not capability proof,adopt internally,apply to one bounded offer
H3,/Users/steven/.hermes/skills/devops/semantic-ecosystem-auditing/SKILL.md,authored Hermes skill,observed,lineage-first ecosystem audit,Method guidance not activation proof,adopt internally,create candidate manifest
H4,/Users/steven/.hermes/skills/software-development/deterministic-domain-api-development/SKILL.md,authored Hermes skill,observed,typed deterministic TDD method,Method guidance not implementation proof,adopt internally,keep regression gates
H5,/Users/steven/.hermes/skills/productivity/freelance-proposals/SKILL.md,authored Hermes skill,observed,source-first proposal integrity,Method guidance not platform experience proof,adopt internally,apply to one draft proposal
H6,/Users/steven/.hermes/skills/productization/visual-reference-auditing/SKILL.md,authored Hermes skill,observed,HTML/CSS reference audit,Method guidance not visual claim proof,pilot only,select bounded local corpus
H7,/Users/steven/.hermes/skills/dogfood/SKILL.md,authored Hermes skill,observed,structured web QA,Method guidance not live-site QA proof,defer,requires runnable local web surface
H8,/Users/steven/.hermes/plugins/orca-status/__init__.py,installed Hermes plugin source,observed,lifecycle hooks/localhost status integration,Not Fiverr capability; activation not verified,reference only,security review before activation
H9,/Users/steven/.hermes/hermes-agent/AGENTS.md,Hermes source project guidance,observed,narrow-core/edge-extension/profile-safe principles,Development guidance not runtime proof,reference only,apply to future adapters
H10,/Users/steven/.hermes/skills/autonomous-ai-agents/local-agent-knowledge-systems/SKILL.md,authored Hermes skill,observed,bounded local search/RAG architecture,Not permission to ingest private corpus,defer,define approved corpus first
H11,/Users/steven/fiverr/v2,local Seller OS implementation,observed,tested local intake/studio/export work,Does not prove Fiverr outcomes or client work,reference evidence,independent review and release gates
